
ԱԳՐԵՍԻԱ	 մեկ կամ մի քանի երկրների զինված հարձակում այլ երկրի կամ երկրների վրա նվաճողական նպատակներով: 
ԶԻՆԱԴԱԴԱՐ	 ռազմական գործողությունները պատերազմող կողմերի միջև ժամանակավորապես դադարեցնելու փոխադարձ համաձայնություն: Լինում է ընդհանուր (կնքում են գլխավոր հրամանատարները) և տեղական (կնքում են տեղական հրամանատարները գլխավոր հրամանատարի լիազորությամբ): Ընդհանուր Զ-ի դեպքում պատերազմական գործողությունները դադարեցվում են պատերազմի ողջ թատերաբեմում (հարցերի լայն շրջանակներ ընդգրկելու հետևանքով հաճախ վեր է ածվում հաշտության պայմանագրի), մասնակի Զ-ի դեպքում՝ որոշակի հատվածում:
ԶԻՆԱԽԱՂԵՐ	 պատանիների, երիտասարդների և զինվորականների մրցություններ: 
ՊԱՏԱՆԵԿԱՆ Զ. (բերդախաղեր	 լախտախաղեր, մկնդախաղեր, ճիպոտներով թրակռիվ, դաշույնակռիվ ևն), ունեցել են ռազմա-սպորտային բնույթ: Խաղակիցներին իրավունք էր վերապահված հարվածել հակառակորդին, բայց, դարերով մշակված կանոնների համաձայն, խեղումներ չառաջացնել: 
ԵՐԻՏԱՍԱՐԴԱԿԱՆ Զ-ի (սուսերախաղեր	 նիզակախաղեր, պարանախաղեր, ավելի ուշ՝ հրազենով նշանառություն ևն) մեծ մասը կատարվում էր ձիավարությամբ: Օգտագործվում էին նաև իսկական զենք ու զրահ (սուր, նետ ու աղեղ, հրազեն, սաղավարտ, վահան, դիմակալ, լանջապանակ ևն): Զ-ին, որպես ռազմական վարժությունների, պետական կարևոր նշանակություն էր տրվում: Թագավորները և իշխանները խրախուսելու համար պարգևատրում էին երիտասարդներին: 
ԶԻՆԱԿԻՐ	 ասպետի մոտ ծառայող 14-20 (հազվադեպ` մինչև 21) տարեկան երիտասարդ ազնվականի կոչում միջնադարյան Եվրոպայում: Սկզբում Զ-ը 5-7 տարի սովորում էր ասպետի մոտ, ուղեկցում նրան, պահպանում և պաշտպանում մարտի ժամանակ, այնուհետև ասպետ էր ձեռնադրվում: 
ԶԻՆԱՄԹԵՐՔ	 սպառազինության բաղկացուցիչ մասը, որը նախատեսված է նշանակետը անմիջապես խոցելու կամ զորքերի գործողություններն ապահովելու համար: Ըստ զինատեսակի Զ. դասակարգվում են. հրթիռների մարտական մասեր, հրետանային Զ. (հրետանային կրակոցներ, ականանետային կրակոցներ, նռնականետային կրակոցներ), հրազենի փամփուշտներ, խոցման ռմբանետման միջոցներ, ինժեներական ականներ, ծովային ականներ, ձեռքի նռնակներ, լուսավորող և ազդանշանային փամփուշտներ ևն: Ըստ նշանակության Զ. դասակարգվում են հիմնական, հատուկ և օժանդակ Զ.:
ՀԻՄՆԱԿԱՆ Զ.	 լինում են սովորական և զանգվածային խոցման: 
ՍՈՎՈՐԱԿԱՆ Զ.	 լիցքավորվում են կամ պայթուցիկ նյութով, կամ հրկիզող նյութերով: 
ԶԱՆԳՎԱԾԱՅԻՆ ԽՈՑՄԱՆ (ՈՉՆՉԱՑՄԱՆ) Զ.	 լինում են միջուկային, քիմիական և կենսաբանական Զ.: 
ՀԱՏՈՒԿ Զ.	 լինում են խոտորումներ առաջացնող, լուսավորող, ազդանշանային, ծխային, նշանափորձիչ-նպատականշող, քարոզչական ևն: 
ՕԺԱՆԴԱԿ Զ.	 լինում են ուսումնական, նմանակող ևն: 
ԶԻՆԱՆՈՑ (ԱՐՍԵՆԱԼ)	 զենք և զինամթերք արտադրող, ընդունող, նորոգող, հավաքող, հաշվառող, պահպանող և զորքերին մատակարարող ռազմական ձեռնարկություն: Հայտնվել է XVI դ.: Հայաստանում լիարժեք իմաստով Զ. ունեցող առաջին ամրոցներից մեկը Դավիթ-Բեկի կառուցած Հալիձորն էր:
ԶԻՆԱՊԱՐՏՈՒԹՅՈՒՆ	 օրենքով հաստատագրված քաղաքացիների Հայրենիքը պաշտպանելու սահմանադրական պարտքը և պարտականությունները կատարելու կարգը: Զ. նախատեսում է. զինվորական հաշվառումը, զինվորական ծառայությանը պարտադիր նախապատրաստումը, զորակոչով զորակոչումը և անցումը զինվորական ծառայության, պահեստազորում գտնվելը, պահեստազորում գտնվելու ընթացքում հավաքներին մասնակցումը, ինչպես նաև զորահավաքի (մոբիլիզացում), ռազմական դրության և պատերազմի ժամանակ զորակոչ, զինվորական ծառայության և ռազմական ուսուցման անցումը:
ԶԻՆՎԱԾ ԱՊՍՏԱՄԲՈՒԹՅՈՒՆ	 գործող իշխանությունների դեմ քաղաքական իշխանությունը զավթելու նպատակով զենքը ձեռքին որոշակի սոցիալական խմբերի բացահայտ գործողություններ:
ԶԻՆՎՈՐ	 զինված ուժերի շարքային անձնակազմի կրտսեր զինվորական կոչում: Հին Հայաստանում կոչել են զենուվոր, զինավոր, զինակիր: 
ԶԻՆՎՈՐԱԿԱՆ ԿԱՐԳԱՊԱՀՈՒԹՅՈՒՆ	 օրենքներով, զինվորական կանոնադրություններով և հրամանատարների հրամաններով սահմանված կարգ ու կանոնի ճշգրիտ պահպանումն է բոլոր զինծառայողների կողմից:
ԶԻՆՎՈՐԱԿԱՆ ՊԱՏԻՎ	 զինվորի ներքին բարոյական հատկությունը, որը բնութագրում է նրա վարքը, վերաբերմունքը կոլեկտիվի, զինվորական պարտքը կատարելու հանդեպ: ԶՊ բարձրագույն ցուցանիշը՝ Հայրենիքը զինված պաշտպանելու ժամանակ մարտի դաշտում ցուցաբերած քաջությունն է:
ԶՈՐԱԲԱՆԱԿ	 մի քանի զորքերի միավորում, որը գտնվում է մեկ գլխավոր հրամանատարի հրամանատարության տակ և գործում է ռազմաճակատի մի հատվածում: 
ԶՈՐԱԹԵՎ (ԹԵՎ)	 1. կռվող զորքի աջ, ձախ թևը, մարտակարգի կենտրոնը կամ առանձնացված պահեստազորը: 2. Զորքերի մարտական դասավորվածության՝ զորասյան կամ շարքի աջակողմյան կամ ձախակողմյան մասը:
ԶՈՐԱԽԱՂ	 զորային միավորման առավելագույնս պատերազմական իրավիճակին մոտեցված մարտավարական պարապմունք: Զ. զինախաղերի ընթացքում յուրացված հնարքների համալիր կիրառումն է: 
ԶՈՐԱԽՈՒՄԲ	 զորքի մաս, առանձին զորական խումբ: 
ԶՈՐԱՀՐԱՄԱՆԱՏԱՐ	 զինված ուժերում բարձր հրամանատարական կամ շտաբային պաշտոն զբաղեցնող զինվորական պետ: 
ԶՈՐԱՄԱՍ	 հաստատագրված հաստիքներով պահվող զինված ուժերի ինքնուրույն մարտական և վարչատնտեսական միավոր: Ներառում է բոլոր գնդերը, գնդերի կազմի մեջ չմտնող առանձին գումարտակները, գումարտակների և գնդերի կազմի մեջ չմտնող առանձին վաշտերը:
ԶՈՐԱՄԻԱՎՈՐՈՒՄ	 մի քանի զորամասերից, սովորաբար տարբեր զորատեսակներից, հատուկ զորքերից (ծառայություններից), ինչպես նաև ապահովման և սպասարկման զորամասերից կազմված զինվորական կազմավորում: 
ԶՈՐԱՅԻՆ ԱՄՐԱՇԻՆԱԿԱՆ ԿԱՌՈՒՅՑՆԵՐ	 զորքերի մարտական գործողությունների ապահովման կարևոր միջոց են: Բարձրացնում են անձնակազմի կենսունակությունը դիրքերում և տեղակայման շրջաններում, մարտական տեխնիկայի ու զենքի օգտագործման արդյունավետությունը, ապահովում են զորքերի պաշտպանությունը ժամանակակից խոցման միջոցներից:
ԶՈՐԱՆԱՄԱԿ	 Հին Հայաստանի ռազմական ուժերի քանակի և դասակարգման մասին պետական վավերագիր կամ ուրույն հրովարտակ: Գործադրվել է Հայաստանում մինչև Արշակունի արքայատան անկումը (IV դ. վերջ » V դ. սկիզբ): Կազմվել է քառաբաժին բոլորակ աղյուսակի ձևով՝ ըստ Մեծ Հայքի չորս կուսակալ զորավարությունների (Հյուսիսային, Հարավային, Արևելյան և Արևմտյան դռներ): Յուրաքանչյուր բաժնում դասվել են 21 կամ 22 նախարարություն՝ նշելով նրանցից յուրաքանչյուրի զորաքանակը: Ըստ մեզ հասած Զ-ի, Արշակունիների օրոք Հայոց զորքի ընդհանուր թվակազմը եղել է 124 հազար մարտիկ, որոնցից 84 հազարը կազմել են նախարարական կամ սեպուհական, 40 հազարը՝ արքունի (ոստանիկ) և մարդպետական գնդերը: Արտաքին վտանգի ժամանակ նախարարներն իրենց զինվորական ուժերը գումարել են Զ-ով սահմանված զորաթևում, իսկ անհրաժեշտության դեպքում Հայոց արքայի կամ սպարապետի հրամանով օգնել այս կամ այն զորաթևին: 
